Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
Laxmi Publication (P)\rLimited,0.5,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Sep-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Designco (3rd Project),2.5,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Sep-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Mayur Dye Chem\rIntermediates Limited,2,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Sep-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Trimex Sands Private\rLimited (Re-Validated),9,Solar,Bikaner,28.01647,73.31184,Rajasthan,21-Oct-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Ghodawat Textiles,1,Solar,Bhilwara,25.34644,74.63523,Rajasthan,21-Oct-2014,7.95,1282,"[6.089221000671387, 6.901070594787598, 7.272623538970947, 7.1078972816467285, 6.811581134796143, 5.926999092102051, 5.012933731079102, 4.961670398712158, 6.164656639099121, 6.618738174438477, 6.004007816314697, 5.734666347503662]",6.217171192,"[188.76585388183594, 193.22998046875, 225.45132446289062, 213.23692321777344, 211.1590118408203, 177.80996704101562, 155.40093994140625, 153.81178283691406, 184.939697265625, 205.18087768554688, 180.1202392578125, 177.774658203125]"
Rajasthan Sun Technique\rEnergy P Ltd,100,Solar,Jaisalmer,26.91947,70.91432,Rajasthan,17-Nov-2014,7.95,1282,"[5.783580780029297, 6.281976222991943, 6.730288982391357, 6.865492343902588, 6.700809478759766, 6.244972229003906, 5.916469097137451, 6.026190757751465, 6.475043296813965, 6.546916484832764, 5.982253074645996, 5.467385768890381]",6.251781464,"[179.29100036621094, 175.8953399658203, 208.6389617919922, 205.9647674560547, 207.72509765625, 187.3491668701172, 183.41053771972656, 186.81192016601562, 194.2512969970703, 202.95440673828125, 179.46759033203125, 169.48895263671875]"
Vyomnath Power,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,16-Dec-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Atapi Power,0.5,Solar,Bikaner,28.01647,73.31184,Rajasthan,16-Dec-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Solar Power Made Easy,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,19-Dec-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Solar Energy Made Easy,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,19-Dec-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
