Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
M/s Vento Power Pvt. Ltd. through\rSECI,40,Solar,Balangir,20.7064,83.48973,Odisha,1-Jan-2019,5.7,1628,"[5.839334011077881, 6.437745571136475, 6.890640735626221, 6.691730976104736, 6.393754005432129, 5.3321733474731445, 4.478617191314697, 4.307915687561035, 5.420198917388916, 5.9118475914001465, 6.0821075439453125, 5.776797771453857]",5.796905041,"[181.01934814453125, 180.2568817138672, 213.60986328125, 200.75192260742188, 198.2063751220703, 159.96519470214844, 138.83712768554688, 133.54537963867188, 162.60597229003906, 183.26727294921875, 182.46322631835938, 179.0807342529297]"
M/s Vento Power Infra Pvt. Ltd.\rthrough SECI,40,Solar,Balangir,20.7064,83.48973,Odisha,19-Jan-2019,5.7,1628,"[5.839334011077881, 6.437745571136475, 6.890640735626221, 6.691730976104736, 6.393754005432129, 5.3321733474731445, 4.478617191314697, 4.307915687561035, 5.420198917388916, 5.9118475914001465, 6.0821075439453125, 5.776797771453857]",5.796905041,"[181.01934814453125, 180.2568817138672, 213.60986328125, 200.75192260742188, 198.2063751220703, 159.96519470214844, 138.83712768554688, 133.54537963867188, 162.60597229003906, 183.26727294921875, 182.46322631835938, 179.0807342529297]"
M/s Vento Energy Infra Pvt. Ltd.\rthrough SECI,40,Solar,Nabarangpur,19.23348,82.54784,Odisha,21-Jan-2019,5.7,1628,"[6.205846309661865, 6.6230549812316895, 6.752436637878418, 6.849302291870117, 6.064815998077393, 4.950074195861816, 4.031676769256592, 4.105573654174805, 5.073909282684326, 6.120165824890137, 5.983890056610107, 6.051933765411377]",5.734390259,"[192.38124084472656, 185.44554138183594, 209.32553100585938, 205.47906494140625, 188.00929260253906, 148.50222778320312, 124.98198699951172, 127.27278900146484, 152.21728515625, 189.7251434326172, 179.51670837402344, 187.6099395751953]"
M/s Vento Power Projects Pvt. Ltd.\rthrough SECI,40,Solar,Kalahandi,19.86827798,83.10903945,Odisha,21-Jan-2019,5.7,1628,"[6.202575206756592, 6.524963855743408, 6.821642875671387, 6.600457191467285, 6.2476420402526855, 4.684989929199219, 4.145707130432129, 4.344998359680176, 5.216118812561035, 5.949426174163818, 5.83652925491333, 5.816362380981445]",5.699284077,"[192.2798309326172, 182.69898986816406, 211.47093200683594, 198.0137176513672, 193.67691040039062, 140.54969787597656, 128.5169219970703, 134.6949462890625, 156.4835662841797, 184.4322052001953, 175.0958709716797, 180.30723571777344]"
Dante Energy Pvt Ltd,2,Solar,Jhansi,25.44858,78.56955,Uttar Pradesh,16-Mar-12,7,606,"[5.631213188171387, 6.202089786529541, 7.009164333343506, 6.916471481323242, 6.383450031280518, 5.584036350250244, 4.8301520347595215, 4.867300987243652, 5.921629905700684, 6.116287708282471, 5.454858303070068, 5.114977836608887]",5.835969448,"[174.56761169433594, 173.65850830078125, 217.28408813476562, 207.494140625, 197.88694763183594, 167.52108764648438, 149.73471069335938, 150.88633728027344, 177.64889526367188, 189.60491943359375, 163.645751953125, 158.56431579589844]"
Dhruv Milkose,1,Solar,Jhansi,25.44858,78.56955,Uttar Pradesh,13-Mar-12,7,606,"[5.631213188171387, 6.202089786529541, 7.009164333343506, 6.916471481323242, 6.383450031280518, 5.584036350250244, 4.8301520347595215, 4.867300987243652, 5.921629905700684, 6.116287708282471, 5.454858303070068, 5.114977836608887]",5.835969448,"[174.56761169433594, 173.65850830078125, 217.28408813476562, 207.494140625, 197.88694763183594, 167.52108764648438, 149.73471069335938, 150.88633728027344, 177.64889526367188, 189.60491943359375, 163.645751953125, 158.56431579589844]"
Priapus Infrastructure Ltd,2,Solar,Bareilly,28.35432,79.41615,Uttar Pradesh,15-Mar-12,7,606,"[4.696093559265137, 5.617518424987793, 6.511600017547607, 6.811906337738037, 6.297466278076172, 5.423917770385742, 4.626121997833252, 5.132510662078857, 5.562974452972412, 5.725086688995361, 5.218421459197998, 4.524964332580566]",5.51238203,"[145.5789031982422, 157.29051208496094, 201.85960388183594, 204.35719299316406, 195.22145080566406, 162.717529296875, 143.40977478027344, 159.1078338623047, 166.8892364501953, 177.47769165039062, 156.55264282226562, 140.27389526367188]"
EMC Ltd,5,Solar,Naini,25.40018,81.83935,Uttar Pradesh,4-Mar-12,7,606,"[4.919582843780518, 6.006619453430176, 7.039066791534424, 6.948648929595947, 6.2510271072387695, 5.555079460144043, 4.633242130279541, 5.026996612548828, 5.516228675842285, 5.654116630554199, 5.158517360687256, 4.886534214019775]",5.632971287,"[152.50706481933594, 168.1853485107422, 218.21107482910156, 208.45947265625, 193.78184509277344, 166.6523895263672, 143.63050842285156, 155.83689880371094, 165.4868621826172, 175.27761840820312, 154.75552368164062, 151.48255920410156]"
NTPC,5,Solar,Dadri,28.55409,77.54643,Uttar Pradesh,30-Mar-12,7,606,"[4.658011436462402, 5.682307720184326, 6.443912029266357, 6.764892578125, 6.338244915008545, 5.415802478790283, 4.932737827301025, 5.291860103607178, 5.841076374053955, 5.684133529663086, 5.082186698913574, 4.48475456237793]",5.551660061,"[144.3983612060547, 159.1046142578125, 199.7612762451172, 202.94677734375, 196.485595703125, 162.4740753173828, 152.9148712158203, 164.04766845703125, 175.23228454589844, 176.20814514160156, 152.46560668945312, 139.0273895263672]"
NTPC,10,Solar,Raibareilly,28.42206,79.45084,Uttar Pradesh,31-Mar-14,7,606,"[4.569838047027588, 5.58012056350708, 6.549517631530762, 6.72405481338501, 6.313540935516357, 5.532723903656006, 4.71466588973999, 4.946208953857422, 5.5959343910217285, 5.746769905090332, 5.249155521392822, 4.758656024932861]",5.523432255,"[141.66497802734375, 156.24337768554688, 203.03504943847656, 201.72164916992188, 195.7197723388672, 165.98171997070312, 146.15464782714844, 153.3324737548828, 167.87803649902344, 178.14987182617188, 157.47467041015625, 147.51834106445312]"
Railway Coach Factory,2,Solar,Railway Coach\rFactory,23.28345,77.42739,Uttar Pradesh,31-Mar-14,7,606,"[5.933201789855957, 6.8261566162109375, 7.202157020568848, 6.980431079864502, 6.581465244293213, 5.323246479034424, 4.621850490570068, 4.315633296966553, 5.807335376739502, 6.504380702972412, 5.969963550567627, 5.852664470672607]",5.993206501,"[183.92926025390625, 191.13238525390625, 223.26686096191406, 209.41293334960938, 204.02542114257812, 159.6973876953125, 143.27735900878906, 133.78463745117188, 174.22006225585938, 201.63580322265625, 179.09890747070312, 181.43260192871094]"
Refex Energy (Rajasthan)\rPvt Ltd,10,Solar,Lalitpur,24.61465,78.44716,Uttar Pradesh,15-Apr-15,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]"
Samavist Energy Solution\rPvtLtd,10,Solar,Lalitpur,24.61465,78.44716,Uttar Pradesh,15-Apr-15,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]"
Azure Surya PvtLtd,10,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,17-Jan-15,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
Jakson Power PvtLtd,10,Solar,Lalitpur,24.61465,78.44716,Uttar Pradesh,19-Jan-15,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]"
Essel Infra Projects Ltd,50,Solar,Jaluan,26.1429,79.32559,Uttar Pradesh,13-Oct-15,7,606,"[4.536775588989258, 5.999718189239502, 6.893643856048584, 6.833595275878906, 6.410351753234863, 5.638491630554199, 4.950173854827881, 5.001954078674316, 5.664290904998779, 5.789050102233887, 5.210520267486572, 4.715935230255127]",5.637041569,"[140.64004516601562, 167.9921112060547, 213.7029571533203, 205.0078582763672, 198.7209014892578, 169.15475463867188, 153.45538330078125, 155.06057739257812, 169.92872619628906, 179.46055603027344, 156.31561279296875, 146.19398498535156]"
Jakson Power PvtLtd,30,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,29-Oct-16,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
Nirosha Power Ltd,30,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,20-Sep-16,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
Universal Saur Urja Ltd,30,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,27-Sep-16,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
K.M.Energy Ltd Lucknow,5,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,30-Oct-16,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
M/s Sukhbir Agro Energy Ltd,10,Solar,Lalitpur,24.61465,78.44716,Uttar Pradesh,6-Feb-17,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]"
M/s Aryavaan Renewable\rEnergy Pvt Ltd,5,Solar,Hamirpur,31.70116,76.5682,Uttar Pradesh,8-Feb-17,7,606,"[4.47049617767334, 5.171263694763184, 5.997812271118164, 6.458500385284424, 6.566610813140869, 5.814848899841309, 4.726031303405762, 4.586167812347412, 5.824892997741699, 6.257034778594971, 5.478802680969238, 5.01627779006958]",5.530727863,"[138.58538818359375, 144.79537963867188, 185.9321746826172, 193.7550048828125, 203.56494140625, 174.44546508789062, 146.50697326660156, 142.17120361328125, 174.74679565429688, 193.96807861328125, 164.36407470703125, 155.50460815429688]"
M/s. Sun N Wind Infra\rEnergy PvtLtd,10,Solar,Lalitpur,24.61465,78.44716,Uttar Pradesh,21-Feb-17,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]"
M/s Sukhbir Agro Energy Ltd,20,Solar,Lalitpur,24.61465,78.44716,Uttar Pradesh,31-Mar-17,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]"
M/s. Salsaar PvtLtd,5,Solar,Hamirpur,31.70116,76.5682,Uttar Pradesh,22-May-17,7,606,"[4.47049617767334, 5.171263694763184, 5.997812271118164, 6.458500385284424, 6.566610813140869, 5.814848899841309, 4.726031303405762, 4.586167812347412, 5.824892997741699, 6.257034778594971, 5.478802680969238, 5.01627779006958]",5.530727863,"[138.58538818359375, 144.79537963867188, 185.9321746826172, 193.7550048828125, 203.56494140625, 174.44546508789062, 146.50697326660156, 142.17120361328125, 174.74679565429688, 193.96807861328125, 164.36407470703125, 155.50460815429688]"
M/s. PSPN Energy Ltd,15,Solar,Jalaun,26.1429,79.32559,Uttar Pradesh,31-Mar-17,7,606,"[4.536775588989258, 5.999718189239502, 6.893643856048584, 6.833595275878906, 6.410351753234863, 5.638491630554199, 4.950173854827881, 5.001954078674316, 5.664290904998779, 5.789050102233887, 5.210520267486572, 4.715935230255127]",5.637041569,"[140.64004516601562, 167.9921112060547, 213.7029571533203, 205.0078582763672, 198.7209014892578, 169.15475463867188, 153.45538330078125, 155.06057739257812, 169.92872619628906, 179.46055603027344, 156.31561279296875, 146.19398498535156]"
M/s. Lohia Develpers,5,Solar,Hameerpur,23.2552,78.49063,Uttar Pradesh,29-Mar-17,7,606,"[5.875500202178955, 6.422178745269775, 6.982762336730957, 6.9613776206970215, 6.413377285003662, 5.230584621429443, 4.098215103149414, 4.199469566345215, 5.530582904815674, 6.356862545013428, 5.7760329246521, 5.804879188537598]",5.804317951,"[182.1405029296875, 179.8209991455078, 216.46563720703125, 208.84132385253906, 198.814697265625, 156.91754150390625, 127.04467010498047, 130.18356323242188, 165.91748046875, 197.062744140625, 173.28099060058594, 179.9512481689453]"
M/s. Paryatana Develpoers\rPvt Ltd,50,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,7-Jun-17,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
M/s. Azure Venus Pvt Ltd,20,Solar,Banda,25.47534,80.3358,Uttar Pradesh,1-Jun-17,7,606,"[4.811795234680176, 6.123859882354736, 6.907909870147705, 6.892721176147461, 6.336898326873779, 5.521845817565918, 4.652524471282959, 4.908846855163574, 5.543017387390137, 5.917459011077881, 5.214580059051514, 4.971062183380127]",5.650209904,"[149.1656494140625, 171.46807861328125, 214.14520263671875, 206.78163146972656, 196.44384765625, 165.65538024902344, 144.22825622558594, 152.17425537109375, 166.29052734375, 183.44122314453125, 156.43740844726562, 154.10292053222656]"
M/s.Agarwal Solar Pvt Ltd,5,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,19-Jun-17,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
M/s Sukhbir Agro Energy Ltd,20,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,5-Aug-17,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
M/s. T.N Urja Pvt Ltd,50,Solar,Jaluan,26.1429,79.32559,Uttar Pradesh,25-Aug-17,7,606,"[4.536775588989258, 5.999718189239502, 6.893643856048584, 6.833595275878906, 6.410351753234863, 5.638491630554199, 4.950173854827881, 5.001954078674316, 5.664290904998779, 5.789050102233887, 5.210520267486572, 4.715935230255127]",5.637041569,"[140.64004516601562, 167.9921112060547, 213.7029571533203, 205.0078582763672, 198.7209014892578, 169.15475463867188, 153.45538330078125, 155.06057739257812, 169.92872619628906, 179.46055603027344, 156.31561279296875, 146.19398498535156]"
M/s. Spinal Energy Delhi,20,Solar,Mahoba,25.29164,79.87111,Uttar Pradesh,1-Sep-17,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]"
M/s. Azure Venus Pvt Ltd,10,Solar,Hamirpur,31.70116,76.5682,Uttar Pradesh,22-Sep-17,7,606,"[4.47049617767334, 5.171263694763184, 5.997812271118164, 6.458500385284424, 6.566610813140869, 5.814848899841309, 4.726031303405762, 4.586167812347412, 5.824892997741699, 6.257034778594971, 5.478802680969238, 5.01627779006958]",5.530727863,"[138.58538818359375, 144.79537963867188, 185.9321746826172, 193.7550048828125, 203.56494140625, 174.44546508789062, 146.50697326660156, 142.17120361328125, 174.74679565429688, 193.96807861328125, 164.36407470703125, 155.50460815429688]"
M/s. Azure Venus Pvt Ltd,20,Solar,Shahajahanpur,27.83424,79.846,Uttar Pradesh,20-Sep-17,7,606,"[4.240942001342773, 5.660946846008301, 6.842961311340332, 6.8458991050720215, 6.318455219268799, 5.502480983734131, 4.583588600158691, 5.010073661804199, 5.430188179016113, 5.735652446746826, 5.04933500289917, 4.482618808746338]",5.475261688,"[131.46920776367188, 158.5065155029297, 212.13180541992188, 205.37696838378906, 195.8721160888672, 165.07443237304688, 142.09124755859375, 155.31228637695312, 162.9056396484375, 177.8052215576172, 151.4800567626953, 138.961181640625]"
UPNEDA,20,Solar,Jhansi,25.44858,78.56955,Uttar Pradesh,17-Jan-18,7,606,"[5.631213188171387, 6.202089786529541, 7.009164333343506, 6.916471481323242, 6.383450031280518, 5.584036350250244, 4.8301520347595215, 4.867300987243652, 5.921629905700684, 6.116287708282471, 5.454858303070068, 5.114977836608887]",5.835969448,"[174.56761169433594, 173.65850830078125, 217.28408813476562, 207.494140625, 197.88694763183594, 167.52108764648438, 149.73471069335938, 150.88633728027344, 177.64889526367188, 189.60491943359375, 163.645751953125, 158.56431579589844]"
M/s. Rattan India 2Pvt Ltd,50,Solar,Allahabad,25.43609,81.84718,Uttar Pradesh,8-Feb-18,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]"
M/s. Enviro Solaire PvtLtd,75,Solar,Mirzapu,25.13432,82.56707,Uttar Pradesh,11-Mar-18,7,606,"[5.036257743835449, 5.947704792022705, 6.90036153793335, 6.748260498046875, 6.300364017486572, 5.342034816741943, 4.824307918548584, 5.018259525299072, 5.395796775817871, 6.002350330352783, 5.346802711486816, 4.843180179595947]",5.642139912,"[156.12399291992188, 166.53573608398438, 213.9112091064453, 202.44781494140625, 195.311279296875, 160.26104736328125, 149.5535430908203, 155.5660400390625, 161.8739013671875, 186.07286071777344, 160.40408325195312, 150.13858032226562]"
UPNEDA,5,Solar,Mathura,27.48677,77.53702,Uttar Pradesh,15-Apr-18,7,606,"[4.469115257263184, 5.848058223724365, 6.735971450805664, 6.946702480316162, 6.415082931518555, 5.656798362731934, 4.936193466186523, 5.106415748596191, 6.010610580444336, 5.657154083251953, 5.105938911437988, 4.7899699211120605]",5.639833927,"[138.54257202148438, 163.74563598632812, 208.8151092529297, 208.4010772705078, 198.86756896972656, 169.70394897460938, 153.02200317382812, 158.29888916015625, 180.3183135986328, 175.3717803955078, 153.17816162109375, 148.48907470703125]"
M/s. Azure Venus Pvt Ltd,40,Solar,Jaluan,26.1429,79.32559,Uttar Pradesh,15-Apr-18,7,606,"[4.536775588989258, 5.999718189239502, 6.893643856048584, 6.833595275878906, 6.410351753234863, 5.638491630554199, 4.950173854827881, 5.001954078674316, 5.664290904998779, 5.789050102233887, 5.210520267486572, 4.715935230255127]",5.637041569,"[140.64004516601562, 167.9921112060547, 213.7029571533203, 205.0078582763672, 198.7209014892578, 169.15475463867188, 153.45538330078125, 155.06057739257812, 169.92872619628906, 179.46055603027344, 156.31561279296875, 146.19398498535156]"
M/s.Sahasdhara PvtLtd,5,Solar,Kishni,27.02239,79.26076,Uttar Pradesh,20-May-18,7,606,"[4.57257604598999, 5.898673057556152, 6.7761688232421875, 6.845027446746826, 6.2780585289001465, 5.646448135375977, 4.859316825866699, 5.117190837860107, 5.550656318664551, 5.8122429847717285, 5.072212219238281, 4.522429466247559]",5.579250336,"[141.74986267089844, 165.162841796875, 210.0612335205078, 205.350830078125, 194.61981201171875, 169.39344787597656, 150.63882446289062, 158.63291931152344, 166.51968383789062, 180.17953491210938, 152.16636657714844, 140.1953125]"
M/s. UP Sarila Urja Ltd,20,Solar,Allahabad,25.43609,81.84718,Uttar Pradesh,26-Jul-18,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]"
M/s. Mehrauni II Ujra Pvt\rLtd,20,Solar,Allahabad,25.43609,81.84718,Uttar Pradesh,19-Jun-18,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]"
M/s. Karaon Ujra Pvt Ltd,40,Solar,Badaun,31.64231,76.12273,Uttar Pradesh,27-Jul-18,7,606,"[4.553305625915527, 5.052706718444824, 6.253042697906494, 6.597170829772949, 6.515445709228516, 5.689817428588867, 5.029299259185791, 4.872204780578613, 5.823227882385254, 5.874177932739258, 5.51415491104126, 4.9515180587768555]",5.560506344,"[141.15248107910156, 141.4757843017578, 193.84432983398438, 197.91513061523438, 201.97882080078125, 170.69451904296875, 155.9082794189453, 151.03834533691406, 174.69683837890625, 182.09951782226562, 165.42465209960938, 153.49705505371094]"
M/s. Mehrauni I Ujra Pvt Ltd,40,Solar,Allahabad,25.43609,81.84718,Uttar Pradesh,14-Oct-18,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]"
M/s. Mehrauni II Ujra Pvt\rLtd,20,Solar,Allahabad,25.43609,81.84718,Uttar Pradesh,8-Oct-18,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]"
M/s. UP Sarila Urja Pvt Ltd,20,Solar,Allahabad,25.43609,81.84718,Uttar Pradesh,8-Oct-18,7,606,"[4.9206390380859375, 6.007530689239502, 7.039349555969238, 6.947984218597412, 6.249853610992432, 5.553798198699951, 4.632285118103027, 5.0262885093688965, 5.516151428222656, 5.654690265655518, 5.159494876861572, 4.887695789337158]",5.632980347,"[152.53981018066406, 168.2108612060547, 218.21983337402344, 208.4395294189453, 193.74546813964844, 166.61395263671875, 143.60084533691406, 155.81494140625, 165.4845428466797, 175.29539489746094, 154.78485107421875, 151.51856994628906]"
Singrauli Solar PV projects,15,Solar,Singrauli,24.19468,82.6656,Uttar Pradesh,31-Mar-14,7,606,"[5.613967418670654, 6.4094977378845215, 6.9431257247924805, 6.85648250579834, 6.368863105773926, 5.359621524810791, 4.514214992523193, 5.054792404174805, 5.360528945922852, 5.8038482666015625, 5.676333427429199, 5.519064903259277]",5.790028095,"[174.03298950195312, 179.4659423828125, 215.2368927001953, 205.69447326660156, 197.43475341796875, 160.7886505126953, 139.94065856933594, 156.6985626220703, 160.8158721923828, 179.91929626464844, 170.29000854492188, 171.0910186767578]"
