Unnamed: 0,Location (District),Installed Capacity (MW),Latitude,Longitude,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly,allsky_insolation
130,Khammam,11,17.25087,80.15742,9.5,1896,"[5.773674488067627, 6.458014965057373, 6.827850341796875, 6.684359550476074, 6.081092357635498, 5.174458980560303, 4.751441478729248, 4.993780136108398, 5.548829078674316, 5.7623467445373535, 5.727818489074707, 5.642235279083252]",5.785491943,"[178.98390197753906, 180.8244171142578, 211.66336059570312, 200.53079223632812, 188.5138702392578, 155.2337646484375, 147.29469299316406, 154.80718994140625, 166.46487426757812, 178.63275146484375, 171.8345489501953, 174.90928649902344]","[5.17, 5.09, 5.06, 5.08, 5.02]"
131,Khandwa,50,21.82122,76.35638,6.5,1084,"[6.123449802398682, 6.715359210968018, 7.194902420043945, 6.9982709884643555, 6.639481067657471, 5.346944808959961, 4.409877300262451, 4.31303071975708, 5.535786151885986, 6.395102024078369, 5.8625383377075195, 5.726226329803467]",5.938414097,"[189.8269500732422, 188.03005981445312, 223.04197692871094, 209.94813537597656, 205.82391357421875, 160.40834045410156, 136.70619201660156, 133.70394897460938, 166.07357788085938, 198.2481689453125, 175.8761444091797, 177.5130157470703]","[5.06, 5.0, 5.05, 4.97, 4.76]"
132,Kharar,0.6,30.74952,76.64169,7.3,2046,"[4.25994348526001, 5.238033294677734, 6.50963830947876, 6.818953514099121, 6.599940776824951, 5.572655200958252, 4.959237098693848, 5.382842063903809, 5.81624698638916, 5.861467361450195, 5.521170139312744, 4.701004505157471]",5.603427887,"[132.05824279785156, 146.66493225097656, 201.7987823486328, 204.568603515625, 204.59815979003906, 167.17965698242188, 153.73634338378906, 166.86810302734375, 174.48741149902344, 181.7054901123047, 165.63510131835938, 145.73114013671875]","[4.8, 4.88, 4.88, 4.85, 4.68]"
133,Kheda,50.77,22.75264,72.68648,5,2378,"[6.2093024253845215, 6.773674011230469, 7.127683639526367, 6.973399639129639, 6.638978481292725, 5.557253837585449, 4.542832851409912, 4.786378860473633, 5.816277027130127, 6.501209735870361, 5.974127292633057, 5.796136856079102]",6.058104038,"[192.48837280273438, 189.66287231445312, 220.95819091796875, 209.20199584960938, 205.80833435058594, 166.71762084960938, 140.82781982421875, 148.37774658203125, 174.48831176757812, 201.53750610351562, 179.22381591796875, 179.68023681640625]","[5.32, 5.19, 5.27, 5.24, 5.12]"
134,Khonsa,0.01,26.98801,95.50432,4,703,"[4.192235469818115, 4.236998558044434, 4.751357078552246, 4.0705246925354, 4.156887054443359, 3.9238831996917725, 3.8891472816467285, 3.7382450103759766, 3.986987352371216, 4.63185977935791, 5.319840431213379, 4.627207279205322]",4.293764591,"[129.9593048095703, 118.6359634399414, 147.2920684814453, 122.11573791503906, 128.86349487304688, 117.71649932861328, 120.56356811523438, 115.8855972290039, 119.609619140625, 143.587646484375, 159.59521484375, 143.44342041015625]","[3.83, 3.73, 3.83, 3.84, 3.87]"
135,Kishni,5,27.02239,79.26076,7,606,"[4.57257604598999, 5.898673057556152, 6.7761688232421875, 6.845027446746826, 6.2780585289001465, 5.646448135375977, 4.859316825866699, 5.117190837860107, 5.550656318664551, 5.8122429847717285, 5.072212219238281, 4.522429466247559]",5.579250336,"[141.74986267089844, 165.162841796875, 210.0612335205078, 205.350830078125, 194.61981201171875, 169.39344787597656, 150.63882446289062, 158.63291931152344, 166.51968383789062, 180.17953491210938, 152.16636657714844, 140.1953125]","[4.84, 4.82, 4.83, 4.71, 4.63]"
136,Kolar,71,13.13333,78.13333,7.5,1396,"[6.448537349700928, 6.983440399169922, 7.129461765289307, 6.672162055969238, 6.1722307205200195, 5.645752906799316, 5.348321437835693, 5.473709583282471, 6.037362575531006, 5.503749370574951, 5.4476165771484375, 5.902475833892822]",6.063734055,"[199.9046630859375, 195.5363311767578, 221.01332092285156, 200.16485595703125, 191.3391571044922, 169.37258911132812, 165.79795837402344, 169.68499755859375, 181.12088012695312, 170.61622619628906, 163.42849731445312, 182.97674560546875]","[5.43, 5.49, 5.36, 5.53, 5.34]"
137,Koppal,257,15.32956,76.15266,7.5,1396,"[6.557862758636475, 7.1042375564575195, 7.149910926818848, 6.793835639953613, 6.147284984588623, 5.279022693634033, 4.884997844696045, 4.9302592277526855, 5.551705837249756, 5.911116600036621, 6.021420001983643, 6.143105983734131]",6.039563656,"[203.2937469482422, 198.9186553955078, 221.64723205566406, 203.8150634765625, 190.5658416748047, 158.3706817626953, 151.4349365234375, 152.83804321289062, 166.55117797851562, 183.24461364746094, 180.64259338378906, 190.436279296875]","[5.5, 5.28, 5.42, 5.38, 5.29]"
138,Kra Daadi,0.07,18.78949,73.95794,4,703,"[6.462566375732422, 7.116188049316406, 7.257124423980713, 6.90937614440918, 6.5697736740112305, 5.029322147369385, 4.525766372680664, 4.539313793182373, 5.4013214111328125, 6.023555278778076, 5.902230739593506, 5.995549201965332]",5.977674484,"[200.3395538330078, 199.25326538085938, 224.97085571289062, 207.28128051757812, 203.66297912597656, 150.87966918945312, 140.2987518310547, 140.71873474121094, 162.03964233398438, 186.73020935058594, 177.06692504882812, 185.86203002929688]","[5.08, 4.86, 5.01, 4.94, 4.88]"
139,Krishna,4.15,16.16667,81.13333,9.95,1480,"[5.858093738555908, 6.2821784019470215, 6.8421630859375, 6.670049667358398, 5.9824442863464355, 5.012963771820068, 4.669647216796875, 4.903696537017822, 5.319089889526367, 5.054885387420654, 5.665530681610107, 5.482147216796875]",5.645240784,"[181.6009063720703, 175.9010009765625, 212.1070556640625, 200.1014862060547, 185.45578002929688, 150.388916015625, 144.75906372070312, 152.01458740234375, 159.57269287109375, 156.70144653320312, 169.96592712402344, 169.94656372070312]","[5.1, 5.02, 4.96, 5.05, 5.0]"
